"last_name, first_name","player_id","year","pa","hit","single","double","triple","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","hard_hit_percent"
"Edman, Tommy",669242,2022,630,153,105,31,4,13,".265",".400",".324","0.724","0.135",".258",".380",".318",".308",".318",".122",".354",".341",".328",".319",".007",".020",".010",37.8
"Hoerner, Nico",663538,2022,517,135,98,22,5,10,".281",".410",".327","0.737","0.129",".270",".367",".320",".301",".318",".097",".336",".314",".317",".306",".011",".043",".019",33.5
"Goldschmidt, Paul",502671,2022,651,178,102,41,0,35,".317",".578",".404","0.982","0.261",".261",".482",".419",".367",".357",".221",".506",".426",".420",".348",".056",".096",".052",47.4
"LeMahieu, DJ",518934,2022,541,122,92,18,0,12,".261",".377",".357","0.734","0.116",".274",".403",".329",".344",".369",".130",".324",".344",".307",".321","-0.013","-0.026","-0.015",41.1
"Turner, Justin",457759,2022,532,130,81,36,0,13,".278",".438",".350","0.788","0.160",".267",".427",".343",".339",".343",".160",".372",".367",".336",".327",".011",".011",".004",40.6
"France, Ty",664034,2022,613,151,103,27,1,20,".274",".436",".338","0.774","0.162",".262",".397",".337",".321",".330",".135",".364",".342",".327",".315",".012",".039",".016",36.8
"Hernández, César",514917,2022,617,139,106,28,4,1,".248",".318",".311","0.629","0.070",".248",".329",".283",".290",".312",".081",".307",".317",".310",".312",".000","-0.011","-0.007",29.7
"Olson, Matt",621566,2022,699,148,70,44,0,34,".240",".477",".325","0.802","0.237",".248",".467",".344",".347",".334",".219",".417",".422",".329",".343","-0.008",".010","-0.003",50.9
"Lowe, Nathaniel",663993,2022,645,179,123,26,3,27,".302",".492",".358","0.850","0.190",".275",".459",".368",".344",".333",".184",".453",".419",".401",".365",".027",".033",".024",44.8
"Crawford, J.P.",641487,2022,603,126,93,24,3,6,".243",".336",".339","0.675","0.093",".255",".337",".306",".315",".353",".081",".293",".306",".284",".302","-0.012","-0.001","-0.009",29.7
"Rengifo, Luis",650859,2022,511,129,86,22,4,17,".264",".429",".294","0.723","0.165",".254",".392",".314",".296",".285",".138",".355",".333",".315",".303",".010",".037",".018",33.6
"Arenado, Nolan",571448,2022,620,163,90,42,1,30,".293",".533",".358","0.891","0.240",".266",".445",".381",".339",".335",".180",".401",".349",".333",".304",".027",".088",".042",38.9
"Verdugo, Alex",657077,2022,644,166,115,39,1,11,".280",".405",".328","0.733","0.125",".278",".428",".319",".329",".327",".151",".342",".353",".324",".323",".002","-0.023","-0.010",38.2
"Voit III, Luke",572228,2022,568,113,69,22,0,22,".226",".402",".308","0.710","0.176",".222",".434",".311",".322",".306",".212",".411",".430",".346",".341",".004","-0.032","-0.011",44.3
"Suárez, Eugenio",553993,2022,629,128,71,24,2,31,".236",".459",".332","0.791","0.223",".220",".454",".344",".339",".321",".234",".456",".446",".364",".343",".016",".005",".005",43.5
"Gurriel Jr., Yuli",493329,2022,584,132,84,40,0,8,".242",".360",".288","0.648","0.118",".240",".319",".285",".271",".286",".079",".297",".280",".278",".276",".002",".041",".014",35.6
"Kemp, Tony",643393,2022,558,117,84,24,2,7,".235",".334",".307","0.641","0.099",".219",".291",".287",".267",".294",".072",".284",".257",".271",".254",".016",".043",".020",14.9
"Smith, Will",669257,2022,578,132,79,26,3,24,".260",".465",".343","0.808","0.205",".255",".470",".349",".349",".339",".216",".378",".379",".317",".312",".005","-0.005",".000",43
"Arozarena, Randy",668227,2022,645,154,90,41,3,20,".263",".445",".327","0.772","0.182",".234",".382",".336",".301",".301",".148",".411",".360",".356",".318",".029",".063",".035",41
"Winker, Jesse",608385,2022,547,100,71,15,0,14,".219",".344",".344","0.688","0.125",".249",".403",".313",".345",".369",".154",".311",".361",".281",".320","-0.030","-0.059","-0.032",34.3
"Nimmo, Brandon",607043,2022,673,159,106,30,7,16,".274",".433",".367","0.800","0.159",".256",".403",".353",".338",".353",".147",".377",".355",".340",".320",".018",".030",".015",39.8
"Santander, Anthony",623993,2022,647,138,81,24,0,33,".240",".455",".318","0.773","0.215",".257",".471",".336",".352",".335",".214",".373",".395",".302",".325","-0.017","-0.016","-0.016",43.3
"Seager, Corey",608369,2022,663,145,87,24,1,33,".245",".455",".317","0.772","0.210",".283",".510",".331",".372",".354",".226",".358",".413",".293",".343","-0.038","-0.055","-0.041",45.5
"Bell, Josh",605137,2022,647,147,98,29,3,17,".266",".422",".362","0.784","0.156",".273",".424",".344",".349",".369",".151",".358",".366",".322",".332","-0.007","-0.002","-0.005",40.8
"Tucker, Kyle",663656,2022,609,140,81,28,1,30,".257",".478",".330","0.808","0.221",".262",".482",".348",".353",".336",".220",".378",".386",".310",".319","-0.005","-0.004","-0.005",42.4
"Urshela, Gio",570482,2022,551,143,100,27,3,13,".285",".429",".338","0.767","0.144",".268",".416",".332",".323",".324",".148",".374",".362",".347",".329",".017",".013",".009",37.6
"Abreu, José",547989,2022,679,183,128,40,0,15,".304",".446",".378","0.824","0.142",".296",".486",".361",".373",".372",".190",".393",".410",".370",".361",".008","-0.040","-0.012",51.8
"Walker, Christian",572233,2022,667,141,78,25,2,36,".242",".477",".327","0.804","0.235",".257",".484",".346",".359",".343",".227",".388",".407",".307",".331","-0.015","-0.007","-0.013",44
"Adames, Willy",642715,2022,617,134,72,31,0,31,".238",".458",".298","0.756","0.220",".238",".451",".325",".323",".299",".213",".416",".414",".334",".335",".000",".007",".002",43.6
"Brown, Seth",664913,2022,555,115,61,26,3,25,".230",".444",".305","0.749","0.214",".251",".454",".323",".338",".324",".203",".404",".426",".324",".354","-0.021","-0.010","-0.015",41.4
"Springer III, George",543807,2022,583,137,86,22,4,25,".267",".472",".342","0.814","0.205",".265",".437",".352",".342",".342",".172",".387",".374",".328",".328",".002",".035",".010",42.3
